tag	category	total	roms	images
Bonus Levels Patch by Gallaux - NA	HackOrPatchCredit	1	1	0
Bonus PlayStation Disc	NeedsReview	1	0	1
Boony - 2023	NeedsReview	1	1	0
Boot Disk	NeedsReview	1	1	0
Booze Design - 2021	NeedsReview	1	1	0
Boxset	NeedsReview	1	0	1
Brave Charge Box	NeedsReview	1	0	1
Brazil, Portugal	Region	1	0	1
Bright Version	NeedsReview	1	0	1
Brightness Patch by Linkuei - NA, Rev 1	HackOrPatchCredit	1	1	0
Broke Studio	NeedsReview	1	0	1
Bub, Turbo Worm, Invaders, Chemistry Test, Dan's Diamonds, and Asteroids - EU	NeedsReview	1	1	0
Bug Fix Patch, Rev 1.2, by Ozidual - NA, Rev 1	HackOrPatchCredit	1	1	0
Build 03854	NeedsReview	1	1	0
Build 03945	NeedsReview	1	1	0
Build 141	NeedsReview	1	1	0
Build 143	NeedsReview	1	1	0
Build 157	NeedsReview	1	1	0
Build 158	NeedsReview	1	1	0
Build 167	NeedsReview	1	1	0
Build 186	NeedsReview	1	1	0
Build 190	NeedsReview	1	1	0
Build 194	NeedsReview	1	1	0
Build 208	NeedsReview	1	1	0
Build 209	NeedsReview	1	1	0
Build 211	NeedsReview	1	1	0
Build 221	NeedsReview	1	1	0
Build 231	NeedsReview	1	1	0
Build 235	NeedsReview	1	1	0
Build 239	NeedsReview	1	1	0
Build 243	NeedsReview	1	1	0
Build 249	NeedsReview	1	1	0
Build 252	NeedsReview	1	1	0
Build 4	NeedsReview	1	1	0
Build 47	NeedsReview	1	1	0
Build 486	NeedsReview	1	1	0
Build 487	NeedsReview	1	1	0
Build 5	NeedsReview	1	1	0
Build 53	NeedsReview	1	1	0
Build 65	NeedsReview	1	1	0
Build 9b	NeedsReview	1	1	0
Butsubutsu Koukan no Maki	NeedsReview	1	0	1
Byte-Off III	NeedsReview	1	1	0
C-D2	NeedsReview	1	1	0
C-D3	NeedsReview	1	1	0
C64CD - 2018	NeedsReview	1	1	0
C64Mark - 2020	NeedsReview	1	1	0
CAFe DEMOPARTY 2019	NeedsReview	1	1	0
CCS	NeedsReview	1	1	0
CD Gioco	NeedsReview	1	0	1
CD Help e Backstage	NeedsReview	1	0	1
CES 1993	NeedsReview	1	0	1
CK-008	NeedsReview	1	1	0
CM	NeedsReview	1	0	1
CNROM	NeedsReview	1	1	0
COMPUTE!'s Gazette	NeedsReview	1	1	0
CSAW CTF 2015	NeedsReview	1	1	0
CTC-15	NeedsReview	1	1	0
CTC-31	NeedsReview	1	1	0
Calpis Water Version	NeedsReview	1	0	1
Camera & FastROM hack by MaxwelOlinda v1.0	HackOrPatchCredit	1	1	0
Camera Control Patch by AnimaC13 - NA, Rev 2	HackOrPatchCredit	1	1	0
Car-Relative Steering	NeedsReview	1	0	1
Carleton Handley - 2021	NeedsReview	1	1	0
Carrion - 2022	NeedsReview	1	1	0
Casino Game	NeedsReview	1	0	1
Castle, Escape from the Planet of the Robot Monsters, and Cosmo-Cruiser - Mission One - EU	NeedsReview	1	1	0
Castle, Konext, and Bully Embassy - EU	NeedsReview	1	1	0
Cat-1 and Gunner - EU	NeedsReview	1	1	0
Ceilings and Editor	NeedsReview	1	1	0
Champion Boxing and Safari Race - KR	NeedsReview	1	1	0
Channel 8 Software	NeedsReview	1	1	0
Character Disk	NeedsReview	1	1	0
Character Tkool	NeedsReview	1	0	1
Character Unlock Patch by Gallaux - NA, Rev 2	HackOrPatchCredit	1	1	0
Character Unlock Patch, Rev 1.1, by Gallaux - NA	HackOrPatchCredit	1	1	0
Character Unlock and Extra Options Patch by Gallaux - EU	HackOrPatchCredit	1	1	0
Chuugakusei Jidai	NeedsReview	1	0	1
Cloud 99, Agatha's Folly, and The Jade Stone - EU	NeedsReview	1	1	0
Club Nintendo	NeedsReview	1	0	1
Clue Crossword - EU	NeedsReview	1	1	0
Coca-Cola Kenshouhin	NeedsReview	1	0	1
Codemasters - Fast Food, Pro Skateboard, Pro Tennis	NeedsReview	1	1	0
Colin's Time Trousers, Crossword, Faller, Line Game, and Tile Game - EU	NeedsReview	1	1	0
Colossus Chess, International Football & Silicon Syborgs	NeedsReview	1	1	0
Colour	NeedsReview	1	1	0
Colour Clash - EU	NeedsReview	1	1	0
Columbia Version	NeedsReview	1	1	0
Commodore Plus - 2023	NeedsReview	1	1	0
Competition Cart, 10k points	NeedsReview	1	0	1
Competition Cart, 1m points	NeedsReview	1	0	1
Compilation Pack Patch, Rev 1.1, by Wreck - NA	HackOrPatchCredit	1	1	0
Complete Edition Patch, Unstripped Version, by Sylandro - NA	HackOrPatchCredit	1	1	0
Contra '93	NeedsReview	1	1	0
Cosine Systems - 2001	NeedsReview	1	1	0
Cosine Systems - 2003	NeedsReview	1	1	0
Cosine Systems - 2006	NeedsReview	1	1	0
Cosine Systems - 2007	NeedsReview	1	1	0
Cosine Systems - 2009	NeedsReview	1	1	0
Cosine Systems - 2011	NeedsReview	1	1	0
Cosine Systems - 2012	NeedsReview	1	1	0
Cosine Systems - 2014	NeedsReview	1	1	0
Cosine Systems - 2020	NeedsReview	1	1	0
Cosmos Cruiser, Castle, and Humphrey - EU	NeedsReview	1	1	0
Covert Bitops - 2002	NeedsReview	1	1	0
Creative Sparks	NeedsReview	1	1	0
Crossword Bonanza, Rock 'n' Roll, and King-Albert - EU	NeedsReview	1	1	0
Crossword Edition 1 - EU	NeedsReview	1	1	0
Crossword Edition 2 - EU	NeedsReview	1	1	0
Crossword and Tray Game - EU	NeedsReview	1	1	0
CyberTennis, Mr. Slidey, and Infection - EU	NeedsReview	1	1	0
Cyclone's Best	NeedsReview	1	0	1
Cymbal Software	NeedsReview	1	1	0
D	NeedsReview	1	0	1
D-N3	NeedsReview	1	1	0
D-T2	NeedsReview	1	1	0
D42	NeedsReview	1	1	0
DA1AC0DB	NeedsReview	1	0	1
DE	Region	1	1	0
DEFCON 26 Indie Badge	NeedsReview	1	1	0
DERF, Invaders, Xs & Os, and Tron - EU	NeedsReview	1	1	0
DFJN5015ZAZ	NeedsReview	1	0	1
DH-08	NeedsReview	1	0	1
DH-64	NeedsReview	1	0	1
DS-H352	NeedsReview	1	1	0
DS-H353	NeedsReview	1	1	0
DS-H354	NeedsReview	1	1	0
DS-H355	NeedsReview	1	1	0
Da,Fi	Language	1	0	1
Daigakusei Jidai & Koukou kara Daigaku ni Agaru ma no Haruyasumi	NeedsReview	1	0	1
Darius Cozmic Revelation	NeedsReview	1	0	1
Dark Version	NeedsReview	1	0	1
Darren Foulds - 2019	NeedsReview	1	1	0
Darro99 & Erazzking - 2021	NeedsReview	1	1	0
Davey Jones Locker, The Jade Necklace, Witch Hunt, The Challenge, The Cup, Realm of Darkness, The Hammer of Grimmold, Mutant, Matchmaker, Jack and the Beanstalk, The Enchanted Cottage, and Lifeboat - EU	NeedsReview	1	1	0
De+Fr,De,Nl	NeedsReview	1	0	1
De,Es,It	Language	1	0	1
De,Es,It,Pt	Language	1	0	1
De,Nl	Language	1	0	1
Deathshadow  - 2012	NeedsReview	1	1	0
Debug Version	NeedsReview	1	0	1
Defiance Studios - 2017	NeedsReview	1	1	0
Demo 5d9	Preview	1	1	0
Demo Movie	Preview	1	0	1
Demo-Add-On Disc	NeedsReview	1	0	1
Derek - 2019	NeedsReview	1	1	0
Deutsch	NeedsReview	1	1	0
Dev	NeedsReview	1	0	1
Die Alliierten	NeedsReview	1	0	1
Die Sowjets	NeedsReview	1	0	1
Digest-ban	NeedsReview	1	0	1
Digital Edition	NeedsReview	1	1	0
Digital Monastery - 2014	NeedsReview	1	1	0
Digital Monastery - 2016	NeedsReview	1	1	0
Digital Monastery - 2018	NeedsReview	1	1	0
Digital Monastery - 2019	NeedsReview	1	1	0
Digital Monastery - 2022	NeedsReview	1	1	0
Digital Video	NeedsReview	1	0	1
Dino Sorcerer, The Adventures of Captain Comic, Blob, Missile Base, and Crossword - EU	NeedsReview	1	1	0
Disc	Disc	1	1	0
Disc 1 - English Translated by A Murder of Crows and Shadowmask, Rev 0.2j RC	TranslationCredit	1	1	0
Disc 1 - English Translated by Aishsha, Paul_met, and Pennywise, Rev 1.1	TranslationCredit	1	1	0
Disc 1 - English Translated by Arjak and MossstarMoon	TranslationCredit	1	1	0
Disc 1 - English Translated by Delta-Islands Team, Rev 1.5 Final	TranslationCredit	1	1	0
Disc 1 - English Translated by Hilltop	TranslationCredit	1	1	0
Disc 1 - English Translated by In the Rose Garden, Rev 1.04	TranslationCredit	1	1	0
Disc 1 - English Translated by John Osborne, Rev 2 - Subbed Version	TranslationCredit	1	1	0
Disc 1 - English Translated by JunkerHQ	TranslationCredit	1	1	0
Disc 1 - English Translated by JunkerHQ, Rev 1.0.1	TranslationCredit	1	1	0
Disc 1 - English Translated by Load Word Team, Rev 1.1	TranslationCredit	1	1	0
Disc 1 - English Translated by NoOneee	TranslationCredit	1	1	0
Disc 1 - English Translated by Orihara Saki - Beta	TranslationCredit	1	1	0
Disc 1 - English Translated by Sakura Wars Translation Project, Rev 1.1	TranslationCredit	1	1	0
Disc 1 - English Translated by Sakura Wars Translation Project, Rev 2.1.1	TranslationCredit	1	1	0
Disc 1 - English Translated by SnowyAria	TranslationCredit	1	1	0
Disc 1 - English Translated by TrekkiesUnite118, Rev 1.1.1	TranslationCredit	1	1	0
Disc 1 - English Translated by Zenksren and LostOkina, Rev 1.33	TranslationCredit	1	1	0
Disc 1 - Prototype	Disc+Preview	1	1	0
Disc 1 - Tower of Doom - English Translated by Lirinica	TranslationCredit	1	1	0
Disc 1 - What's Going On - English Translated by SnowyAria	TranslationCredit	1	1	0
Disc 2 - English Translated by A Murder of Crows and Shadowmask, Rev 0.2j RC	TranslationCredit	1	1	0
Disc 2 - English Translated by Aishsha, Paul_met, and Pennywise, Rev 1.1	TranslationCredit	1	1	0
Disc 2 - English Translated by Arjak and MossstarMoon	TranslationCredit	1	1	0
Disc 2 - English Translated by Delta-Islands Team, Rev 1.5 Final	TranslationCredit	1	1	0
Disc 2 - English Translated by Hilltop	TranslationCredit	1	1	0
Disc 2 - English Translated by In the Rose Garden, Rev 1.04	TranslationCredit	1	1	0
Disc 2 - English Translated by John Osborne, Rev 2 - Subbed Version	TranslationCredit	1	1	0
Disc 2 - English Translated by JunkerHQ	TranslationCredit	1	1	0
Disc 2 - English Translated by JunkerHQ, Rev 1.0.1	TranslationCredit	1	1	0
Disc 2 - English Translated by Load Word Team, Rev 1.1	TranslationCredit	1	1	0
Disc 2 - English Translated by NoOneee	TranslationCredit	1	1	0
Disc 2 - English Translated by Orihara Saki - Beta	TranslationCredit	1	1	0
Disc 2 - English Translated by Sakura Wars Translation Project, Rev 1.1	TranslationCredit	1	1	0
Disc 2 - English Translated by Sakura Wars Translation Project, Rev 2.1.1	TranslationCredit	1	1	0
Disc 2 - English Translated by SnowyAria	TranslationCredit	1	1	0
Disc 2 - English Translated by TrekkiesUnite118, Rev 1.1.1	TranslationCredit	1	1	0
Disc 2 - English Translated by Zenksren and LostOkina, Rev 1.33	TranslationCredit	1	1	0
Disc 2 - Fears Behind - English Translated by SnowyAria	TranslationCredit	1	1	0
Disc 2 - Prototype	Disc+Preview	1	1	0
Disc 3 - English Translated by A Murder of Crows and Shadowmask, Rev 0.2j RC	TranslationCredit	1	1	0
Disc 3 - English Translated by Delta-Islands Team, Rev 1.5 Final	TranslationCredit	1	1	0
Disc 3 - English Translated by JunkerHQ, Rev 1.0.1	TranslationCredit	1	1	0
Disc 3 - English Translated by Sakura Wars Translation Project, Rev 1.1	TranslationCredit	1	1	0
Disc 3 - English Translated by Zenksren and LostOkina, Rev 1.33	TranslationCredit	1	1	0
Disc 4 - English Translated by Delta-Islands Team, Rev 1.5 Final	TranslationCredit	1	1	0
Disc 5 - English Translated by Delta-Islands Team, Rev 1.5 Final	TranslationCredit	1	1	0
Disc 6 - English Translated by Delta-Islands Team, Rev 1.5 Final	TranslationCredit	1	1	0
Disc 7	Disc	1	0	1
Disc 7 - English Translated by Delta-Islands Team, Rev 1.5 Final	TranslationCredit	1	1	0
Disc 8	Disc	1	0	1
Disc 8 - English Translated by Delta-Islands Team, Rev 1.5 Final	TranslationCredit	1	1	0
Disk 1 - Bishoujo Connection - JP	NeedsReview	1	1	0
Disk 1 - EU	Disc+Region	1	1	0
Disk 1 - Mahjong Game Hontai - JP	NeedsReview	1	1	0
Disk 1 - Tokimeki Gals - JP	NeedsReview	1	1	0
Disk 1 - Yonin no Tenshi Tachi - JP	NeedsReview	1	1	0
Disk 2 - Dai H Taikai - JP	NeedsReview	1	1	0
Disk 2 - Daitan H na Hirusagari - JP	NeedsReview	1	1	0
Disk 2 - EU	Disc+Region	1	1	0
Disk 2 - Tottemo H na Gogo - JP	NeedsReview	1	1	0
Disk 2 - Yonin to Dai H Taikai - JP	NeedsReview	1	1	0
Disk 8	Disc	1	1	0
Disk 9	Disc	1	1	0
Donnie Russell II - 2022	NeedsReview	1	1	0
Double Action 53 - Volume 2	NeedsReview	1	1	0
Double case	NeedsReview	1	0	1
Doukon Pack	NeedsReview	1	0	1
Dr. Mortal Wombat - 2021	NeedsReview	1	1	0
Dr. TerrorZ - 2021	NeedsReview	1	1	0
Dr. Terrorz - 2018	NeedsReview	1	1	0
Dr. Wuro Industries - 2016	NeedsReview	1	1	0
Dr. Wuro Industries - 2018	NeedsReview	1	1	0
Dr. Wuro Industries - 2021	NeedsReview	1	1	0
Drachenberg Studios - 2022	NeedsReview	1	1	0
Dragon Quest VI	NeedsReview	1	1	0
Dragon Quest VII	NeedsReview	1	1	0
Dragon Quest VIII	NeedsReview	1	1	0
Draughts and Batz 'n Ballz - EU	NeedsReview	1	1	0
Dreamcast Version	Platform	1	1	0
Driver Mines, Chaos, and L.O.T.I.S.B. - EU	NeedsReview	1	1	0
Dungeon 1 Disk	NeedsReview	1	1	0
Dungeon 2 Disk	NeedsReview	1	1	0
Durell	NeedsReview	1	1	0
Dutch Patience, Music Trivia, and Kids Stuff 1 - EU	NeedsReview	1	1	0
Dynavision	NeedsReview	1	1	0
E	NeedsReview	1	0	1
E3 1997	NeedsReview	1	0	1
EB4-3 E	NeedsReview	1	1	0
EB4-3 X	NeedsReview	1	1	0
EB4-4 A	NeedsReview	1	1	0
ECTS 2000	NeedsReview	1	0	1
EGS	NeedsReview	1	0	1
EU - 4-in-1 Hack Patch by Meduza Team, Rev 1.5	HackOrPatchCredit	1	1	0
EU - 4-in-1 Hack Patch by Meduza Team, Rev 1.5 - NDS Style Version	HackOrPatchCredit	1	1	0
EU - 60Hz Hack Patch by NoelleAmelie, Rev 1.0a	HackOrPatchCredit	1	1	0
EU - 60Hz Selector Patch by Paradox	HackOrPatchCredit	1	1	0
EU - 60Hz Selector Patch by Static, Rev 1.01	HackOrPatchCredit	1	1	0
EU - Disc 1 - Magical Drop III	NeedsReview	1	1	0
EU - Disc 1 - Wings of Destiny	NeedsReview	1	1	0
EU - Disc 2 - Chronicles of Arthur	NeedsReview	1	1	0
EU - Disc 2 - Magical Drop Plus 1	NeedsReview	1	1	0
EU - Disc 3 - The First Generation	NeedsReview	1	1	0
EU - Disc 4	Disc+Region	1	1	0
EU - Disc 4 - Blazing Guns	NeedsReview	1	1	0
EU - FastROM Hack by Kandowontu, Rev 1.4	HackOrPatchCredit	1	1	0
EU - Flash Removal Patch by Privateye	HackOrPatchCredit	1	1	0
EU - NTSC Conversion With Japanese Opening and Ending Patch by Sakitoshi	HackOrPatchCredit	1	1	0
EU - NTSC Conversion by Markisha64	NeedsReview	1	1	0
EU - NTSC Conversion by MyloWhylo	NeedsReview	1	1	0
EU - NTSC Conversion by Sakitoshi	NeedsReview	1	1	0
EU - Power Source Demo Disc	NeedsReview	1	1	0
EU - Undub Patch by Swosho, Rev 1.1	HackOrPatchCredit	1	1	0
Easier	NeedsReview	1	1	0
Easy	NeedsReview	1	1	0
EayFlash	NeedsReview	1	1	0
Ecco the Dolphin	NeedsReview	1	0	1
Ecco the Dolphin II	NeedsReview	1	0	1
El Juego	NeedsReview	1	0	1
Elysium - 2022	NeedsReview	1	1	0
En+En+En,Fr,De	NeedsReview	1	0	1
En+En,Es,It,Sv,Da	NeedsReview	1	0	1
En+En,Fr,De	NeedsReview	1	0	1
En+En,Fr,De,Es,It,Nl,Sv,Da	NeedsReview	1	0	1
En+En,Ja,Fr,De,Es	NeedsReview	1	0	1
En,Da,Pl	Language	1	0	1
En,De,Es,Nl	Language	1	0	1
En,De,It,Nl	Language	1	0	1
En,De,Nl	Language	1	0	1
En,De,Sv,Fi	Language	1	0	1
En,Es,Fi	Language	1	0	1
En,Es,It,Sv,Da	Language	1	0	1
En,Es,Nl+Es,It	NeedsReview	1	0	1
En,Es,Nl+Fr,Nl	NeedsReview	1	0	1
En,Es,Sv,Da,Fi	Language	1	0	1
En,Es,Sv,Fi	Language	1	0	1
En,Fr,De+De	NeedsReview	1	0	1
En,Fr,De+En,Fr,De,Es,It	NeedsReview	1	0	1
En,Fr,De+Fr	NeedsReview	1	0	1
En,Fr,De,Da+En,De	NeedsReview	1	0	1
En,Fr,De,Es+En,Fr,De,Es,It,Nl	NeedsReview	1	0	1
En,Fr,De,Es,It+En	NeedsReview	1	0	1
En,Fr,De,Es,It,Ar	Language	1	0	1
En,Fr,De,Es,It,Nl+En,Fr,De,Es,It	NeedsReview	1	0	1
En,Fr,De,Es,It,Nl+En,Fr,De,Es,It,Nl,Sv,No,Da,Fi	NeedsReview	1	0	1
En,Fr,De,Es,It,Nl,Pt,Sv,Da	Language	1	0	1
En,Fr,De,Es,It,Nl,Sv,Da+En	NeedsReview	1	0	1
En,Fr,De,Es,It,Nl,Sv,Fi	Language	1	0	1
En,Fr,De,Es,It,Pt,Sv,No,Da,Fi	Language	1	0	1
En,Fr,De,Es,It,Sv+En,Fr,De,Es,It	NeedsReview	1	0	1
En,Fr,De,Es,It,Sv,Da	Language	1	0	1
En,Fr,De,It,Nl,Sv	Language	1	0	1
En,Fr,De,It,Nl,Sv,Da	Language	1	0	1
En,Fr,De,Sv,Fi	Language	1	0	1
En,Fr,Es,It,Nl,Pt,Da	Language	1	0	1
En,Fr,It+Es,It	NeedsReview	1	0	1
En,Fr,It+Fr,Nl	NeedsReview	1	0	1
En,Fr,Nl,Sv	Language	1	0	1
En,Fr,Sv,Fi	Language	1	0	1
En,It,Sv,No,Da	Language	1	0	1
En,Ja+En,Ja,Fr,De,Es,It	NeedsReview	1	0	1
En,Ja,Fr,De,Es+En,Ja	NeedsReview	1	0	1
En,Ja,Fr,De,Es,It+En	NeedsReview	1	0	1
En,Ja,Fr,De,Es,It+En,Ja,Fr,De,Es	NeedsReview	1	0	1
En,Ja,Fr,De,Es,It,Nl	Language	1	0	1
En,Ja,Fr,De,Es,It,Zh	Language	1	0	1
En,Ja,Fr,De,Es,Zh	Language	1	0	1
En,Ja,Fr,De,It	Language	1	0	1
En,Ja,Fr,De,It,Nl	Language	1	0	1
En,Ja,Fr,Es,Pt	Language	1	1	0
En,Ja,Fr,It	Language	1	0	1
En,Nl,Sv,No,Da	Language	1	0	1
En,Nl,Sv,No,Da,Fi	Language	1	0	1
En,No,Da	Language	1	0	1
En,Pt,Pl	Language	1	1	0
En,Sv,No	Language	1	0	1
En,Zh-Hant	NeedsReview	1	0	1
En-US,Es-MX,Pt-BR	NeedsReview	1	0	1
Ending Fix Patch - EU	HackOrPatchCredit	1	1	0
Endurance Course	NeedsReview	1	1	0
Endurion - 2015	NeedsReview	1	1	0
Endurion - 2018	NeedsReview	1	1	0
Engagement Edition	NeedsReview	1	1	0
English Retranslated and Content Restoration by Krokodyl	TranslationCredit	1	1	0
English Retranslated and Content Restoration by The SAP Team - Reborn Version, Rev 2	TranslationCredit	1	1	0
English Retranslated by CoolCatBomberMan, Rev 2 With FastROM Hack by Kandowontu, Rev 1.1	TranslationCredit	1	1	0
English Retranslated by Rodimus Primal, Rev 1.99 - Namingway Edition	TranslationCredit	1	1	0
English Retranslated by Rodimus Primal, Rev 3.06 With Bug Fixes, Updated Opera, and Add-Ons - Woolsey Uncensored Edition	TranslationCredit	1	1	0
English Retranslated by Thirteen 1355, Rev 1.5	TranslationCredit	1	1	0
English Retranslated by Watercrown Productions, Rev 1.2b With Original Title Screen Music	TranslationCredit	1	1	0
English Retranslated from GBA Version by J121, Rev 1.16 With Bugfixes and Ginger Battle Galuf Patch, With FastROM Hack by Kandowontu	TranslationCredit	1	1	0
English Retranslation and Content Restoration by CF, Rev 1.1	TranslationCredit	1	1	0
English Retranslation and Fixes by Sarah Shinespark, Rev 3 - Seal of Rimsala Version	TranslationCredit	1	1	0
English Translated With Arabic Numerals by Psyklax	TranslationCredit	1	1	0
English Translated With Corrected Ending by BlackPaladin	TranslationCredit	1	1	0
English Translated With Honorifics Patch, Rev 1.1, by Lipemco! Translations	TranslationCredit	1	1	0
English Translated With PSP Audio Patch, Rev 1.01, by Shortfilms.tk and Burnt Lasagna	TranslationCredit	1	1	0
English Translated and Content Restoration by Backlog Odyssey, Rev 2	TranslationCredit	1	1	0
English Translated and Content Restored by FlashPV With FastROM Hack by Kandowontu	TranslationCredit	1	1	0
English Translated and Uncensored Patch by Darkmoon2321, Rev 1.1	TranslationCredit	1	1	0
English Translated by Acediez	TranslationCredit	1	1	0
English Translated by Acediez, Rev 1.3	TranslationCredit	1	1	0
English Translated by Adventurous Translations, Rev 0.96	TranslationCredit	1	1	0
English Translated by Aeon Genesis With Epyon Unlocked Patch by CF, Rev 1.1	TranslationCredit	1	1	0
English Translated by Aeon Genesis With FastROM Hack by Kandowontu, Rev 1.1	TranslationCredit	1	1	0
English Translated by Aeon Genesis, Rev 0.95b	TranslationCredit	1	1	0
English Translated by Aeon Genesis, Rev 1.01 With Deluxe Version Patch by BobSchneeder45, Rev 2	TranslationCredit	1	1	0
English Translated by Aethin, Rev 1.04	TranslationCredit	1	1	0
English Translated by Aishsha	TranslationCredit	1	1	0
English Translated by Aishsha, Paul_met, and Pennywise, Rev 1.0.1	TranslationCredit	1	1	0
English Translated by Aishsha, Paul_met, and Stardust Crusaders, Rev 1.3.1	TranslationCredit	1	1	0
English Translated by Aishsha, Rev 1.1b	TranslationCredit	1	1	0
English Translated by AlanMidas Cant.hack With Fixes by Jordiway73, Rev 1.1	TranslationCredit	1	1	0
English Translated by Alex Kid, Darkfalzx, and Simon Fang, Rev 2022-01-20b	TranslationCredit	1	1	0
English Translated by Arcraith, Rev 1.1	TranslationCredit	1	1	0
English Translated by Asiwish, Rev 1.2 With FastROM Hack by Kandowontu	TranslationCredit	1	1	0
English Translated by BST, Rev 2.08 With Grind-Be-Gone and Swiss Manicure Patches	TranslationCredit	1	1	0
English Translated by Bankbank	TranslationCredit	1	1	0
English Translated by Ben128	TranslationCredit	1	1	0
English Translated by Bulk Slash English Localization Team, Rev 1.001	TranslationCredit	1	1	0
English Translated by CF	TranslationCredit	1	1	0
English Translated by Cabbage and Shawn Cox	TranslationCredit	1	1	0
English Translated by Campanella999	TranslationCredit	1	1	0
English Translated by Cargodin, EsperKnight, Gwendolyn, and PSXCraver	TranslationCredit	1	1	0
English Translated by Cargodin, Rev 1.3	TranslationCredit	1	1	0
English Translated by Chapu, Miniomegaking, PSXCraver, and Vervalkon	TranslationCredit	1	1	0
English Translated by Chris Covell With Alt Font and Controls Patch by KingMike's Translations	TranslationCredit	1	1	0
English Translated by Chris M. Covell	TranslationCredit	1	1	0
English Translated by ChristopheF, Rev 2	TranslationCredit	1	1	0
English Translated by Cirosan	TranslationCredit	1	1	0
English Translated by DDSTranslation	TranslationCredit	1	1	0
English Translated by Dave Shadoff	TranslationCredit	1	1	0
English Translated by Dave Shadoff and Diogo Ribeiro	TranslationCredit	1	1	0
English Translated by Dave Shadoff, Filler, and Diogo Ribeiro	TranslationCredit	1	1	0
English Translated by Dave Shadoff, Filler, and Tomaitheous	TranslationCredit	1	1	0
English Translated by Dave Shadoff, MooZ, and Diogo Ribeiro	TranslationCredit	1	1	0
English Translated by Demiforce	TranslationCredit	1	1	0
English Translated by Denim	TranslationCredit	1	1	0
English Translated by Diogo Ribeiro	TranslationCredit	1	1	0
English Translated by Django	TranslationCredit	1	1	0
English Translated by DrGoldfire	TranslationCredit	1	1	0
English Translated by DvD Translations	TranslationCredit	1	1	0
English Translated by Eight Mansions, Rev 0.95.9	TranslationCredit	1	1	0
English Translated by EsperKnight	TranslationCredit	1	1	0
English Translated by Esperknight, CJ_Iwakura, and Others	TranslationCredit	1	1	0
English Translated by FCandChill	TranslationCredit	1	1	0
English Translated by FCandChill, Filler, TheMajinZenki, and Graphicus	TranslationCredit	1	1	0
English Translated by Filler and Cabbage	TranslationCredit	1	1	0
English Translated by Filler, Tomaitheous, EsperKnight, and Grant Laughlin	TranslationCredit	1	1	0
English Translated by FlashPV	TranslationCredit	1	1	0
English Translated by Fothsid, Rev 1.1	TranslationCredit	1	1	0
English Translated by GameHacking.org and Victini378, Rev 1.03	TranslationCredit	1	1	0
English Translated by GammaTrove	TranslationCredit	1	1	0
English Translated by Gemini and Tom, Rev 1a	TranslationCredit	1	1	0
English Translated by Gertius	TranslationCredit	1	1	0
English Translated by Gertius, Rev 1.2	TranslationCredit	1	1	0
English Translated by Gideon Zhi and Matatabi	TranslationCredit	1	1	0
English Translated by Gil Galad	TranslationCredit	1	1	0
English Translated by Grundo1561, Rev 1.2	TranslationCredit	1	1	0
English Translated by Gungriffon II Localization Team, Rev 0.97.5	TranslationCredit	1	1	0
English Translated by Hemulen	TranslationCredit	1	1	0
English Translated by Hilltop, Cargodin, Blametherobots, Gwendolyn, and SnowyAria, Rev 1.1	TranslationCredit	1	1	0
English Translated by Infinite Lupine Translations With Addendum by R4dius, Rev 1.01b	TranslationCredit	1	1	0
English Translated by Infinite Lupine Translations With Addendum by R4dius, Rev 1.01b and Text Improvement Patch by VincentNL	TranslationCredit	1	1	0
English Translated by Infinite Lupine Translations, Rev 1.01	TranslationCredit	1	1	0
English Translated by Jink640	TranslationCredit	1	1	0
English Translated by John Osborne, Rev 1.1	TranslationCredit	1	1	0
English Translated by KBLO, Rev 20251010	TranslationCredit	1	1	0
English Translated by Kitchen34, Rev 1.1	TranslationCredit	1	1	0
English Translated by Kitchen34, Rev 1.10	TranslationCredit	1	1	0
English Translated by Knight0fDragon, Rev 1.021 With Hotfix	TranslationCredit	1	1	0
English Translated by KoolFiller, Rev 2025-06-14	TranslationCredit	1	1	0
English Translated by Lady Jessica, Rev 0.8	TranslationCredit	1	1	0
English Translated by LaytonLoztew	TranslationCredit	1	1	0
English Translated by Malenko	TranslationCredit	1	1	0
English Translated by Malenko, Rev 1.02 Final	TranslationCredit	1	1	0
English Translated by Malenko, Rev 1.2 Final	TranslationCredit	1	1	0
English Translated by Malenko, Rev 2024.02.04-01	TranslationCredit	1	1	0
English Translated by Matizhill	TranslationCredit	1	1	0
English Translated by Meduza Team, Rev 1.04a	TranslationCredit	1	1	0
English Translated by Mentil	TranslationCredit	1	1	0
English Translated by Mr.Nobody, Arcanearia, and NintendoComplete, Rev 1.1	TranslationCredit	1	1	0
English Translated by NLeseul, Rev 0.9b	TranslationCredit	1	1	0
English Translated by Nanashi, Rev 0.9	TranslationCredit	1	1	0
English Translated by Necrosaro	TranslationCredit	1	1	0
English Translated by Nick, Paul, and Akimaru	TranslationCredit	1	1	0
English Translated by Nikita600, Rev 05FEB2023	TranslationCredit	1	1	0
English Translated by Onionzoo and Cabbage	TranslationCredit	1	1	0
English Translated by Paul_Met, Aishsha, and Pennywise, Rev 1.3	TranslationCredit	1	1	0
English Translated by Paul_met	TranslationCredit	1	1	0
English Translated by Paul_met and Stardust Crusaders, Rev 1.5	TranslationCredit	1	1	0
English Translated by Paul_met, Aishsha, Pennywise, Ryusui, TheMajinZenki, and CCCmar	TranslationCredit	1	1	0
