tag	category	total	roms	images
SNK 40th Anniversary Collection	NeedsReview	6	3	3
Scandinavia	Region	6	0	6
Sega 3D Classics	NeedsReview	6	0	6
Shotenban	NeedsReview	6	0	6
Super Fighter Team	NeedsReview	6	0	6
Toaplan Arcade Garage	Platform	6	0	6
Track 12	NeedsReview	6	6	0
Track 13	NeedsReview	6	6	0
bootleg	NeedsReview	6	6	0
set 1	NeedsReview	6	6	0
v0.04	Revision	6	4	2
v03	Revision	6	0	6
v1.0.1	Revision	6	5	1
v1.00	Revision	6	5	1
v1.04	Revision	6	6	0
v6.0	Revision	6	3	3
1M, 2M	NeedsReview	5	0	5
2016	NeedsReview	5	5	0
2M, 3M	NeedsReview	5	0	5
5S	NeedsReview	5	0	5
7S	NeedsReview	5	0	5
Aladdin Compact Cartridge	NeedsReview	5	3	2
Alt2	Revision	5	5	0
Alt3	Revision	5	5	0
Argentina	Region	5	0	5
BIOS	NeedsReview	5	5	0
BNROM	NeedsReview	5	5	0
Beta 24	Preview	5	0	5
Byte-Off 2020	NeedsReview	5	5	0
Caltron	NeedsReview	5	4	1
Competition Cart	NeedsReview	5	2	3
Coolboy	NeedsReview	5	4	1
Darius Cozmic Collection	NeedsReview	5	0	5
En,Es,Nl,Sv	Language	5	0	5
En,Fr,Nl	Language	5	1	4
English Translated by Mute	TranslationCredit	5	5	0
FAAT	NeedsReview	5	0	5
Fire & Earth	NeedsReview	5	0	5
Fixed	NeedsReview	5	0	5
Kickstarter	NeedsReview	5	5	0
Limited Box	NeedsReview	5	0	5
Lost One Disc	NeedsReview	5	0	5
Mad Dog	NeedsReview	5	0	5
Made in EU	NeedsReview	5	0	5
NA, Rev 1 - Disc 1	Disc+Region+Revision	5	5	0
NA, Rev 1 - Disc 2	Disc+Region+Revision	5	5	0
NESDev Compo 2018	NeedsReview	5	5	0
NESDev Compo 2022	NeedsReview	5	5	0
Opening Disc	NeedsReview	5	0	5
P's Club Special Edition	NeedsReview	5	0	5
PD	NeedsReview	5	5	0
Portugal	Region	5	0	5
Premium Disc	NeedsReview	5	0	5
Premium Edition	NeedsReview	5	0	5
Premium Package	NeedsReview	5	0	5
Pt-BR	NeedsReview	5	5	0
Retro Rewind Collection	NeedsReview	5	0	5
Rockman 123	NeedsReview	5	5	0
Ru	Language	5	5	0
Satakore	NeedsReview	5	0	5
Smash	NeedsReview	5	0	5
Sunsoft	NeedsReview	5	3	2
TXC	NeedsReview	5	3	2
Tokubetsuban	NeedsReview	5	0	5
United Kingdom	NeedsReview	5	1	4
V1.1	Revision	5	0	5
Version 3.5	NeedsReview	5	0	5
Zelda Collection	NeedsReview	5	0	5
hack	HackOrPatchCredit	5	5	0
v0.03	Revision	5	4	1
v0.12	Revision	5	5	0
v0.2	Revision	5	4	1
13M	NeedsReview	4	0	4
1984-01-04	Date	4	0	4
1996	NeedsReview	4	3	1
1998-06-15	Date	4	0	4
1998-07-31	Date	4	0	4
1999-08-19	Date	4	0	4
1999-09-04	Date	4	0	4
1M, 4M	NeedsReview	4	0	4
2000-07-18	Date	4	0	4
2022-10-31	Date	4	4	0
2022-11-01	Date	4	4	0
6M	NeedsReview	4	0	4
980332	NeedsReview	4	2	2
Acclaim	NeedsReview	4	2	2
Activision Anthology - Remix Edition	NeedsReview	4	0	4
Aquasphere	NeedsReview	4	0	4
Arcade CD-ROM	Platform	4	0	4
Arcade Disc	Platform	4	0	4
Arcade Mode	Platform	4	0	4
Beta 25	Preview	4	0	4
Byakko	NeedsReview	4	0	4
Demo - EU	Region+Preview	4	4	0
Earth Federation Disc	NeedsReview	4	0	4
Electronica	NeedsReview	4	2	2
En,Fi	Language	4	0	4
En,Fr,De+En	NeedsReview	4	0	4
En,Fr,De,Es,It,Fi	Language	4	0	4
En,Fr,De,Es,Pt	Language	4	0	4
En,Fr,De,Sv	Language	4	0	4
En,Fr,Es,Nl,Pt,Pl	Language	4	2	2
En,Fr,Es,Pt	Language	4	0	4
En,Ja,Es,Pt	Language	4	0	4
En,Ja,Fr,De,Es,It,Nl,Pt	Language	4	0	4
En,Sv,Fi	Language	4	0	4
English Translated by Hilltop	TranslationCredit	4	4	0
English Translated by John Osborne	TranslationCredit	4	4	0
English Translated, Rev A, by DvD Translations	TranslationCredit	4	4	0
Es,Pt	Language	4	0	4
Extra Disc	NeedsReview	4	0	4
Final Version	NeedsReview	4	3	1
Fr,De,Es	Language	4	0	4
Game no Kanzume Vol. 2	NeedsReview	4	0	4
Gekan	NeedsReview	4	0	4
Genbu	NeedsReview	4	0	4
Grandslam	NeedsReview	4	4	0
Greece	Region	4	0	4
HAL Laboratory	NeedsReview	4	0	4
Hacker	NeedsReview	4	2	2
HeartBeat Catalyst	NeedsReview	4	0	4
Honkakuha de 1300	NeedsReview	4	0	4
Hudson	NeedsReview	4	2	2
J.Y. Company	NeedsReview	4	3	1
JP - Color Fixes by SCD, Rev Final	NeedsReview	4	4	0
JP, Rev B	Region+Revision	4	4	0
Ja,Zh	Language	4	0	4
Joukan	NeedsReview	4	0	4
Juice	NeedsReview	4	0	4
Konami	NeedsReview	4	2	2
Kyoko Disc	NeedsReview	4	0	4
Landsphere	NeedsReview	4	0	4
NA, Rev A	Region+Revision	4	4	0
NES-BK	NeedsReview	4	2	2
NESDev 2022	NeedsReview	4	4	0
NESDev Compo 2014	NeedsReview	4	4	0
NINA-03	NeedsReview	4	2	2
Namco Museum Archives Vol 1	NeedsReview	4	2	2
Promo	Preview	4	0	4
Proto 4	Preview	4	0	4
Psytronik - 2013	NeedsReview	4	4	0
R4 + JogCon	NeedsReview	4	0	4
RE1	NeedsReview	4	0	4
Rev 6	Revision	4	0	4
Second Window	NeedsReview	4	0	4
Seiryuu	NeedsReview	4	0	4
Simplified	NeedsReview	4	2	2
Snake	NeedsReview	4	2	2
Snake Disc	NeedsReview	4	0	4
Sonic Classic Collection	NeedsReview	4	0	4
Soviet	NeedsReview	4	0	4
Super Mega	NeedsReview	4	2	2
Suzaku	NeedsReview	4	0	4
TND - 2021	NeedsReview	4	4	0
TND - 2022	NeedsReview	4	4	0
Track 14	NeedsReview	4	4	0
Track 15	NeedsReview	4	4	0
Track 16	NeedsReview	4	4	0
Track 17	NeedsReview	4	4	0
Track 18	NeedsReview	4	4	0
Track 19	NeedsReview	4	4	0
Track 20	NeedsReview	4	4	0
Track 21	NeedsReview	4	4	0
USA, Germany	Region	4	0	4
Wii and Wii U Virtual Console	Platform	4	2	2
Wind & Fang Tu	NeedsReview	4	0	4
Zeon Disc	NeedsReview	4	0	4
Zh	Language	4	4	0
iam8bit	NeedsReview	4	2	2
v0.22-132	NeedsReview	4	4	0
v0.23	Revision	4	4	0
v0.5	Revision	4	4	0
v04	Revision	4	0	4
v1.0.0	Revision	4	4	0
v2.1	Revision	4	2	2
+1 Tasu Ichi	NeedsReview	3	0	3
1-A	NeedsReview	3	3	0
1-B	NeedsReview	3	3	0
1-G	NeedsReview	3	3	0
12M	NeedsReview	3	0	3
1983-05-02	Date	3	0	3
1983-11-21	Date	3	0	3
1993	NeedsReview	3	2	1
1996-02-05	Date	3	0	3
1996-09-24	Date	3	0	3
1998-07-30	Date	3	0	3
1999-08-07	Date	3	0	3
1999-09-22	Date	3	0	3
1999-10-26	Date	3	0	3
1M, 3M	NeedsReview	3	0	3
2000-01-17	Date	3	0	3
2017-04-21	Date	3	3	0
2019	NeedsReview	3	3	0
2022-09-01	Date	3	3	0
2023-05-20	Date	3	3	0
20M	NeedsReview	3	0	3
3A	NeedsReview	3	0	3
Activision	NeedsReview	3	1	2
Airwalk Studios	NeedsReview	3	3	0
Aleste Collection	NeedsReview	3	0	3
Angelique History	NeedsReview	3	0	3
Antonio Savona - 2019	NeedsReview	3	3	0
Audio Fix Patch by Justin Gibbins - NA	HackOrPatchCredit	3	3	0
Belgium	Region	3	0	3
Best Wing 2800	NeedsReview	3	0	3
Best of the Best	NeedsReview	3	0	3
Beta 26	Preview	3	0	3
Beta 27	Preview	3	0	3
Beta 28	Preview	3	0	3
Beta 29	Preview	3	0	3
Bonus Disc	NeedsReview	3	0	3
Chuukan	NeedsReview	3	0	3
Classic Mini, Switch Online	Platform	3	0	3
Damian Yerrick	NeedsReview	3	3	0
Das Spiel	NeedsReview	3	0	3
Digital Version	NeedsReview	3	3	0
Disc 6	Disc	3	0	3
Disc C	Disc	3	0	3
Dragon Co.	NeedsReview	3	2	1
EU - Disc 3	Disc+Region	3	3	0
En,De,It	Language	3	0	3
