tag	total	roms	images
English Translated by RIP Translations	1	1	0
English Translated by RIP Translations, Rev 1.1	1	1	0
English Translated by Ralf Guth, Rev 0.6.1	1	1	0
English Translated by Rari_teh, Rev 1.1	1	1	0
English Translated by Rasputin3000, Rev 0.999	1	1	0
English Translated by Raw Le Klueze	1	1	0
English Translated by Retrodadandmodernlad, Rev 0.9	1	1	0
English Translated by Riderr3, Rev 1.1	1	1	0
English Translated by Robertmvsa, Rev 1.2	1	1	0
English Translated by Ryu	1	1	0
English Translated by Shadowmask and SoloNerfherder	1	1	0
English Translated by ShivaSaturn	1	1	0
English Translated by Shubibiman and Cabbage	1	1	0
English Translated by SnowyAria, Rev 1.1	1	1	0
English Translated by Someitalian123	1	1	0
English Translated by Specialagentape	1	1	0
English Translated by Star Trinket	1	1	0
English Translated by Star Trinket - Beta	1	1	0
English Translated by Stellar Assault SS Localization Team	1	1	0
English Translated by Stephwag, Rev 0.2	1	1	0
English Translated by Supper and Mafoo343	1	1	0
English Translated by The Spoony Bard	1	1	0
English Translated by TiCo	1	1	0
English Translated by TransGen	1	1	0
English Translated by TrekkiesUnite118	1	1	0
English Translated by TrekkiesUnite118, Rev 0.9.1	1	1	0
English Translated by TrekkiesUnite118, Rev 1.5.1a - Dubbed Version	1	1	0
English Translated by Unknown	1	1	0
English Translated by Vermillion Desserts	1	1	0
English Translated by Verve Fanworks, Rev 1.04	1	1	0
English Translated by Vice Translations	1	1	0
English Translated by Walxer, Rev 0.81	1	1	0
English Translated by Walxer, Rev 0.85	1	1	0
English Translated by Wonder-inc, Rev 1.01 - NTSC Version	1	1	0
English Translated by Zander3312, Rev 0.9	1	1	0
English Translated, Prototype	1	1	0
English Translated, Rev 0.95 With English Dub Patch, Rev 1.1, by Burnt Lasagna	1	1	0
English Translated, Rev 0.98, by Nebulous Translations	1	1	0
English Translated, Rev 0.99, by Gaijin Productions	1	1	0
English Translated, Rev 0.99, by Spinner 8 and Friends	1	1	0
English Translated, Rev 0.99b, by Gaijin Productions and Zatos Hacks	1	1	0
English Translated, Rev 021210, by Zoinkity	1	1	0
English Translated, Rev 1.01, by Dave Shadoff and Filler	1	1	0
English Translated, Rev 1.01, by Gil Galad	1	1	0
English Translated, Rev 1.01, by MrRichard999	1	1	0
English Translated, Rev 1.01, by Onionzoo and Cabbage	1	1	0
English Translated, Rev 1.01, by Ozidual	1	1	0
English Translated, Rev 1.01, by Zoinkity	1	1	0
English Translated, Rev 1.02, by Ozidual	1	1	0
English Translated, Rev 1.1	1	1	0
English Translated, Rev 1.1, by Filler and Cabbage	1	1	0
English Translated, Rev 1.1, by Jordiway73	1	1	0
English Translated, Rev 1.1, by MooZ and Shubibiman	1	1	0
English Translated, Rev 1.1, by Nebulous Translations	1	1	0
English Translated, Rev 1.1, by Procyon	1	1	0
English Translated, Rev 1.1, by Spinner 8 and Friends	1	1	0
English Translated, Rev 1.1, by Vice Translations	1	1	0
English Translated, Rev 1.2	1	1	0
English Translated, Rev 1.2, by Lipemco! Translations	1	1	0
English Translated, Rev 1.2, by Super Roboprotector	1	1	0
English Translated, Rev 1.2, by tAz-07	1	1	0
English Translated, Rev 1.3, by D	1	1	0
English Translated, Rev 1.3, by Zoinkity	1	1	0
English Translated, Rev 1.31, by Spinner 8 and Friends	1	1	0
English Translated, Rev 1.77, by Star Trinket	1	1	0
English Translated, Rev 1E, by Dave Shadoff	1	1	0
English Translated, Rev 2, by Psyklax	1	1	0
English Translated, Rev 2.33, by Columbo	1	1	0
English Translated, Rev 3, by VPW	1	1	0
English Translated, Rev v1.1, by Supper	1	1	0
English Translated, Rev v1.3, by Supper	1	1	0
English Translation by Brandnewscooby	1	1	0
English Translation by Puppy	1	1	0
English Translation by Ripper, Rev 0.19	1	1	0
JP - Disc 1 - English Translated by John Osborne With Cross MOD Patch by the Weekdays in Forsena Group, Rev 7.1	1	1	0
JP - Disc 1 - English Translated by KBLO, Rev 20251010 - Dubbed Version	1	1	0
JP - Disc 1 - Langrisser IV - English Translated by Kil, Rev 1.3	1	1	0
JP - Disc 2 - English Translated by John Osborne With Cross MOD Patch by the Weekdays in Forsena Group, Rev 7.1	1	1	0
JP - English Translated by Bulk Slash English Localization Team, Rev 1.001 - Dubbed Version	1	1	0
JP - English Translated by Exxistance - Dubbed Version	1	1	0
JP - English Translated by Gemini, Throughhim413, and Tom, Rev 1.2	1	1	0
JP - English Translated by Hemulen	1	1	0
JP - English Translated by Hilltop, Rev 1.1 - Classic Arale Version	1	1	0
JP - English Translated by KoolFiller, Rev 2025-06-14 - Dubbed Version	1	1	0
JP - English Translated by Malenko, Rev 2024.02.04-01 - Revised Version	1	1	0
JP - English Translated by Meduza Team, Rev 1.1 - Ultimate Fork PSX Script Version	1	1	0
JP - English Translated by Meduza Team, Rev 1.1 - Ultimate PSP Script Version	1	1	0
JP - English Translated by Mentil With EX Patch by Paul_met	1	1	0
JP - English Translated by Shining Force III Translation Project, Rev 25.1	1	1	0
JP - Limit Over Hack by CafeBreak Project, Rev 2.1 - English Translated by Ms. Tea	1	1	0
JP - Wizardry VI - Bane of the Cosmic Forge - English Translated by Remisse, Rev 0.51 - Enhanced Version	1	1	0
Japanese Original Version - English Translated With Save Fix by John Osborne	1	1	0
NA - Disc 1 - Retranslation Patch by VoidWaveCEO, Rev 1.1 With Undub Patch and Bugfixes by Swosho, Rev 1.1	1	1	0
NA - Disc 2 - Retranslation Patch by VoidWaveCEO, Rev 1.1 With Undub Patch and Bugfixes by Swosho, Rev 1.1	1	1	0
NA - Disc 3 - Retranslation Patch by VoidWaveCEO, Rev 1.1 With Undub Patch and Bugfixes by Swosho, Rev 1.1	1	1	0
NA - Disc 4 - Retranslation Patch by VoidWaveCEO, Rev 1.1 With Undub Patch and Bugfixes by Swosho, Rev 1.1	1	1	0
NA - Retranslation and Undub Patch by Eiowlta	1	1	0
NA - Retranslation and Undub Patch by FlamePurge	1	1	0
NA - Undub Patch by Guilherme Resende, Rev 1.14 With Retranslation Patch by NectarHime	1	1	0
NTSC Conversion, Debug Menu, and Retranslation Patch by MikeeB84	1	1	0
Neunzehn - English Translated by MrRichard999	1	1	0
Original Translation	1	0	1
Prototype - English Translated by Zoinkity	1	1	0
RCG Translation	1	0	1
Rev 1 - English Translated by Gemini, Rev 1a	1	1	0
Rev 1 - English Translated by LostOkina, Rev 1.1	1	1	0
Rev 1 - English Translated by Stardust Crusaders, Aishsha, Paul_met, and Others, Rev 1.4	1	1	0
Rev 1, English Translated by MonstermanMFR	1	1	0
Wizardry VI - Bane of the Cosmic Forge - English Translated by Remisse, Rev 0.51	1	1	0
Ys - Ancient Ys Vanished Omen Saturn Mode - English Translated by Murzik and CrawdKenny, Rev 0.763	1	1	0
